constrains,content,difficulty,external_link,images,input,input_example,note,output,output_example,title
,"Guy-Manuel and Thomas have an array $$$a$$$ of $$$n$$$ integers [$$$a_1, a_2, \dots, a_n$$$]. In one step they can add $$$1$$$ to any element of the array. Formally, in one step they can choose any integer index $$$i$$$ ($$$1 \le i \le n$$$) and do $$$a_i := a_i + 1$$$. If either the sum or the product of all elements in the array is equal to zero, Guy-Manuel and Thomas do not mind to do this operation one more time. What is the minimum number of steps they need to do to make both the sum and the product of all elements in the array  different from zero ? Formally, find the minimum number of steps to make $$$a_1 + a_2 +$$$ $$$\dots$$$ $$$+ a_n \ne 0$$$ and $$$a_1 \cdot a_2 \cdot$$$ $$$\dots$$$ $$$\cdot a_n \ne 0$$$.",800,https://codeforces.com/problemset/problem/1300/A,,"Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 10^3$$$). The description of the test cases follows.The first line of each test case contains an integer $$$n$$$ ($$$1 \le n \le 100$$$) — the size of the array.The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$-100 \le a_i \le 100$$$) — elements of the array .","Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 10^3$$$). The description of the test cases follows.The first line of each test case contains an integer $$$n$$$ ($$$1 \le n \le 100$$$) — the size of the array.The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$-100 \le a_i \le 100$$$) — elements of the array .","In the first test case, the sum is $$$0$$$. If we add $$$1$$$ to the first element, the array will be $$$[3,-1,-1]$$$, the sum will be equal to $$$1$$$ and the product will be equal to $$$3$$$. In the second test case, both product and sum are $$$0$$$. If we add $$$1$$$ to the second and the third element, the array will be $$$[-1,1,1,1]$$$, the sum will be equal to $$$2$$$ and the product will be equal to $$$-1$$$. It can be shown that fewer steps can't be enough. In the third test case, both sum and product are non-zero, we don't need to do anything. In the fourth test case, after adding $$$1$$$ twice to the first element the array will be $$$[2,-2,1]$$$, the sum will be $$$1$$$ and the product will be $$$-4$$$.","For each test case, output the minimum number of steps required to make both sum and product of all elements in the array different from zero.","For each test case, output the minimum number of steps required to make both sum and product of all elements in the array different from zero.",A. Non-zero
,"Define the score of some binary string $$$T$$$ as the absolute difference between the number of zeroes and ones in it. (for example, $$$T=$$$  010001  contains $$$4$$$ zeroes and $$$2$$$ ones, so the score of $$$T$$$ is $$$|4-2| = 2$$$). Define the creepiness of some binary string $$$S$$$ as the maximum score among all of its prefixes (for example, the creepiness of $$$S=$$$  01001  is equal to $$$2$$$ because the score of the prefix $$$S[1 \ldots 4]$$$ is $$$2$$$ and the rest of the prefixes have a score of $$$2$$$ or less). Given two integers $$$a$$$ and $$$b$$$, construct a binary string consisting of $$$a$$$ zeroes and $$$b$$$ ones with the minimum possible creepiness.",800,https://codeforces.com/problemset/problem/1694/A,,"The first line contains a single integer $$$t$$$ $$$(1\le t\le 1000)$$$  — the number of test cases. The description of the test cases follows.The only line of each test case contains two integers $$$a$$$ and $$$b$$$ ($$$ 1 \le a, b \le 100$$$)  — the numbers of zeroes and ones correspondingly.","The first line contains a single integer $$$t$$$ $$$(1\le t\le 1000)$$$  — the number of test cases. The description of the test cases follows.The only line of each test case contains two integers $$$a$$$ and $$$b$$$ ($$$ 1 \le a, b \le 100$$$)  — the numbers of zeroes and ones correspondingly.","In the first test case, the score of $$$S[1 \ldots 1]$$$ is $$$1$$$, and the score of $$$S[1 \ldots 2]$$$ is $$$0$$$. In the second test case, the minimum possible creepiness is $$$1$$$ and one of the other answers is  101 . In the third test case, the minimum possible creepiness is $$$3$$$ and one of the other answers is  0001100 .","For each test case, print a binary string consisting of $$$a$$$ zeroes and $$$b$$$ ones with the minimum possible creepiness. If there are multiple answers, print any of them.","For each test case, print a binary string consisting of $$$a$$$ zeroes and $$$b$$$ ones with the minimum possible creepiness. If there are multiple answers, print any of them.",A. Creep
,You've got a rectangular parallelepiped with integer edge lengths. You know the areas of its three faces that have a common vertex. Your task is to find the sum of lengths of all 12 edges of this parallelepiped.,1100,https://codeforces.com/problemset/problem/224/A,,The first and the single line contains three space-separated integers — the areas of the parallelepiped's faces. The area's values are positive ( > 0) and do not exceed 104. It is guaranteed that there exists at least one parallelepiped that satisfies the problem statement.,The first and the single line contains three space-separated integers — the areas of the parallelepiped's faces. The area's values are positive ( > 0) and do not exceed 104. It is guaranteed that there exists at least one parallelepiped that satisfies the problem statement.,"In the first sample the parallelepiped has sizes  1 × 1 × 1 , in the second one —  2 × 2 × 3 .",Print a single number — the sum of all edges of the parallelepiped.,Print a single number — the sum of all edges of the parallelepiped.,A. Parallelepiped
,"Polycarp is mad about coding, that is why he writes Sveta encoded messages. He calls the  median letter  in a word the letter which is in the middle of the word. If the word's length is even, the median letter is the left of the two middle letters. In the following examples, the median letter is highlighted:  con t est ,  i n fo . If the word consists of single letter, then according to above definition this letter is the median letter.  Polycarp encodes each word in the following way: he writes down the median letter of the word, then deletes it and repeats the process until there are no letters left. For example, he encodes the word  volga  as  logva . You are given an encoding  s  of some word, your task is to decode it. ",900,https://codeforces.com/problemset/problem/746/B,,The first line contains a positive integer n (1 ≤ n ≤ 2000) — the length of the encoded word.The second line contains the string s of length n consisting of lowercase English letters — the encoding.,The first line contains a positive integer n (1 ≤ n ≤ 2000) — the length of the encoded word.The second line contains the string s of length n consisting of lowercase English letters — the encoding.,"In the first example Polycarp encoded the word  volga . At first, he wrote down the letter  l  from the position  3 , after that his word looked like  voga . After that Polycarp wrote down the letter  o  from the position  2 , his word became  vga . Then Polycarp wrote down the letter  g  which was at the second position, the word became  va . Then he wrote down the letter  v , then the letter  a . Thus, the encoding looked like  logva . In the second example Polycarp encoded the word  no . He wrote down the letter  n , the word became  o , and he wrote down the letter  o . Thus, in this example, the word and its encoding are the same. In the third example Polycarp encoded the word  baba . At first, he wrote down the letter  a , which was at the position  2 , after that the word looked like  bba . Then he wrote down the letter  b , which was at the position  2 , his word looked like  ba . After that he wrote down the letter  b , which was at the position  1 , the word looked like  a , and he wrote down that letter  a . Thus, the encoding is  abba .",Print the word that Polycarp encoded.,Print the word that Polycarp encoded.,B. Decoding
,"Ashishgup and FastestFinger play a game.  They start with a number $$$n$$$ and play in turns. In each turn, a player can make  any one  of the following moves:    Divide $$$n$$$ by any of its odd divisors greater than $$$1$$$.   Subtract $$$1$$$ from $$$n$$$ if $$$n$$$ is greater than $$$1$$$.  Divisors of a number include the number itself. The player who is  unable to make a move  loses the game. Ashishgup moves first. Determine the winner of the game if both of them play optimally.",1400,https://codeforces.com/problemset/problem/1370/C,,The first line contains a single integer $$$t$$$ ($$$1 \leq t \leq 100$$$)  — the number of test cases. The description of the test cases follows.The only line of each test case contains a single integer  — $$$n$$$ ($$$1 \leq n \leq 10^9$$$).,The first line contains a single integer $$$t$$$ ($$$1 \leq t \leq 100$$$)  — the number of test cases. The description of the test cases follows.The only line of each test case contains a single integer  — $$$n$$$ ($$$1 \leq n \leq 10^9$$$).,"In the first test case, $$$n = 1$$$, Ashishgup cannot make a move. He loses. In the second test case, $$$n = 2$$$, Ashishgup subtracts $$$1$$$ on the first move. Now $$$n = 1$$$, FastestFinger cannot make a move, so he loses. In the third test case, $$$n = 3$$$, Ashishgup divides by $$$3$$$ on the first move. Now $$$n = 1$$$, FastestFinger cannot make a move, so he loses. In the last test case, $$$n = 12$$$, Ashishgup divides it by $$$3$$$. Now $$$n = 4$$$, FastestFinger is forced to subtract $$$1$$$, and Ashishgup gets $$$3$$$, so he wins by dividing it by $$$3$$$.","For each test case, print ""Ashishgup"" if he wins, and ""FastestFinger"" otherwise (without quotes).","For each test case, print ""Ashishgup"" if he wins, and ""FastestFinger"" otherwise (without quotes).",C. Number Game
,"You are given two sequences $$$a_1, a_2, \dots, a_n$$$ and $$$b_1, b_2, \dots, b_n$$$. Each element of both sequences is either $$$0$$$, $$$1$$$ or $$$2$$$. The number of elements $$$0$$$, $$$1$$$, $$$2$$$ in the sequence $$$a$$$ is $$$x_1$$$, $$$y_1$$$, $$$z_1$$$ respectively, and the number of elements $$$0$$$, $$$1$$$, $$$2$$$ in the sequence $$$b$$$ is $$$x_2$$$, $$$y_2$$$, $$$z_2$$$ respectively. You can rearrange the elements in both sequences $$$a$$$ and $$$b$$$ however you like. After that, let's define a sequence $$$c$$$ as follows: $$$c_i = \begin{cases} a_i b_i & \mbox{if }a_i > b_i \\ 0 & \mbox{if }a_i = b_i \\ -a_i b_i & \mbox{if }a_i < b_i \end{cases}$$$ You'd like to make $$$\sum_{i=1}^n c_i$$$ (the sum of all elements of the sequence $$$c$$$) as large as possible. What is the maximum possible sum?",1100,https://codeforces.com/problemset/problem/1401/B,,"The first line contains one integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of test cases.Each test case consists of two lines. The first line of each test case contains three integers $$$x_1$$$, $$$y_1$$$, $$$z_1$$$ ($$$0 \le x_1, y_1, z_1 \le 10^8$$$) — the number of $$$0$$$-s, $$$1$$$-s and $$$2$$$-s in the sequence $$$a$$$.The second line of each test case also contains three integers $$$x_2$$$, $$$y_2$$$, $$$z_2$$$ ($$$0 \le x_2, y_2, z_2 \le 10^8$$$; $$$x_1 + y_1 + z_1 = x_2 + y_2 + z_2 > 0$$$) — the number of $$$0$$$-s, $$$1$$$-s and $$$2$$$-s in the sequence $$$b$$$.","The first line contains one integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of test cases.Each test case consists of two lines. The first line of each test case contains three integers $$$x_1$$$, $$$y_1$$$, $$$z_1$$$ ($$$0 \le x_1, y_1, z_1 \le 10^8$$$) — the number of $$$0$$$-s, $$$1$$$-s and $$$2$$$-s in the sequence $$$a$$$.The second line of each test case also contains three integers $$$x_2$$$, $$$y_2$$$, $$$z_2$$$ ($$$0 \le x_2, y_2, z_2 \le 10^8$$$; $$$x_1 + y_1 + z_1 = x_2 + y_2 + z_2 > 0$$$) — the number of $$$0$$$-s, $$$1$$$-s and $$$2$$$-s in the sequence $$$b$$$.","In the first sample, one of the optimal solutions is: $$$a = \{2, 0, 1, 1, 0, 2, 1\}$$$ $$$b = \{1, 0, 1, 0, 2, 1, 0\}$$$ $$$c = \{2, 0, 0, 0, 0, 2, 0\}$$$ In the second sample, one of the optimal solutions is: $$$a = \{0, 2, 0, 0, 0\}$$$ $$$b = \{1, 1, 0, 1, 0\}$$$ $$$c = \{0, 2, 0, 0, 0\}$$$ In the third sample, the only possible solution is: $$$a = \{2\}$$$ $$$b = \{2\}$$$ $$$c = \{0\}$$$","For each test case, print the maximum possible sum of the sequence $$$c$$$.","For each test case, print the maximum possible sum of the sequence $$$c$$$.",B. Ternary Sequence
,"You are given a digital clock with $$$n$$$ digits. Each digit shows an integer from $$$0$$$ to $$$9$$$, so the whole clock shows an integer from $$$0$$$ to $$$10^n-1$$$. The clock will show leading zeroes if the number is smaller than $$$10^{n-1}$$$. You want the clock to show $$$0$$$ with as few operations as possible. In an operation, you can do one of the following:     decrease the number on the clock by $$$1$$$, or   swap two digits (you can choose which digits to swap, and they don't have to be adjacent).  Your task is to determine the minimum number of operations needed to make the clock show $$$0$$$.",800,https://codeforces.com/problemset/problem/1573/A,,"Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 10^3$$$).The first line of each test case contains a single integer $$$n$$$ ($$$1 \le n \le 100$$$) — number of digits on the clock.The second line of each test case contains a string of $$$n$$$ digits $$$s_1, s_2, \ldots, s_n$$$ ($$$0 \le s_1, s_2, \ldots, s_n \le 9$$$) — the number on the clock.Note: If the number is smaller than $$$10^{n-1}$$$ the clock will show leading zeroes.","Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 10^3$$$).The first line of each test case contains a single integer $$$n$$$ ($$$1 \le n \le 100$$$) — number of digits on the clock.The second line of each test case contains a string of $$$n$$$ digits $$$s_1, s_2, \ldots, s_n$$$ ($$$0 \le s_1, s_2, \ldots, s_n \le 9$$$) — the number on the clock.Note: If the number is smaller than $$$10^{n-1}$$$ the clock will show leading zeroes.","In the first example, it's optimal to just decrease the number $$$7$$$ times. In the second example, we can first swap the first and last position and then decrease the number by $$$1$$$. In the third example, the clock already shows $$$0$$$, so we don't have to perform any operations.","For each test case, print one integer: the minimum number of operations needed to make the clock show $$$0$$$.","For each test case, print one integer: the minimum number of operations needed to make the clock show $$$0$$$.",A. Countdown
,"Little girl Tanya climbs the stairs inside a multi-storey building. Every time Tanya climbs a stairway, she starts counting steps from $$$1$$$ to the number of steps in this stairway. She speaks every number aloud. For example, if she climbs two stairways, the first of which contains $$$3$$$ steps, and the second contains $$$4$$$ steps, she will pronounce the numbers $$$1, 2, 3, 1, 2, 3, 4$$$. You are given all the numbers pronounced by Tanya. How many stairways did she climb? Also, output the number of steps in each stairway. The given sequence will be a valid sequence that Tanya could have pronounced when climbing one or more stairways.",800,https://codeforces.com/problemset/problem/1005/A,,"The first line contains $$$n$$$ ($$$1 \le n \le 1000$$$) — the total number of numbers pronounced by Tanya.The second line contains integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \le a_i \le 1000$$$) — all the numbers Tanya pronounced while climbing the stairs, in order from the first to the last pronounced number. Passing a stairway with $$$x$$$ steps, she will pronounce the numbers $$$1, 2, \dots, x$$$ in that order.The given sequence will be a valid sequence that Tanya could have pronounced when climbing one or more stairways.","The first line contains $$$n$$$ ($$$1 \le n \le 1000$$$) — the total number of numbers pronounced by Tanya.The second line contains integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \le a_i \le 1000$$$) — all the numbers Tanya pronounced while climbing the stairs, in order from the first to the last pronounced number. Passing a stairway with $$$x$$$ steps, she will pronounce the numbers $$$1, 2, \dots, x$$$ in that order.The given sequence will be a valid sequence that Tanya could have pronounced when climbing one or more stairways.",,"In the first line, output $$$t$$$ — the number of stairways that Tanya climbed. In the second line, output $$$t$$$ numbers — the number of steps in each stairway she climbed. Write the numbers in the correct order of passage of the stairways.","In the first line, output $$$t$$$ — the number of stairways that Tanya climbed. In the second line, output $$$t$$$ numbers — the number of steps in each stairway she climbed. Write the numbers in the correct order of passage of the stairways.",A. Tanya and Stairways
,"You have two integers $$$l$$$ and $$$r$$$. Find an integer $$$x$$$ which satisfies the conditions below:    $$$l \le x \le r$$$.   All digits of $$$x$$$ are different.  If there are multiple answers, print any of them.",800,https://codeforces.com/problemset/problem/1228/A,,The first line contains two integers $$$l$$$ and $$$r$$$ ($$$1 \le l \le r \le 10^{5}$$$).,The first line contains two integers $$$l$$$ and $$$r$$$ ($$$1 \le l \le r \le 10^{5}$$$).,"In the first example, $$$123$$$ is one of the possible answers. However, $$$121$$$ can't be the answer, because there are multiple $$$1$$$s on different digits. In the second example, there is no valid answer.","If an answer exists, print any of them. Otherwise, print $$$-1$$$.","If an answer exists, print any of them. Otherwise, print $$$-1$$$.",A. Distinct Digits
,"Two players are playing a game. First each of them writes an integer from 1 to 6, and then a dice is thrown. The player whose written number got closer to the number on the dice wins. If both payers have the same difference, it's a draw. The first player wrote number  a , the second player wrote number  b . How many ways to throw a dice are there, at which the first player wins, or there is a draw, or the second player wins?",800,https://codeforces.com/problemset/problem/378/A,,"The single line contains two integers a and b (1 ≤ a, b ≤ 6) — the numbers written on the paper by the first and second player, correspondingly.","The single line contains two integers a and b (1 ≤ a, b ≤ 6) — the numbers written on the paper by the first and second player, correspondingly.","The dice is a standard cube-shaped six-sided object with each side containing a number from 1 to 6, and where all numbers on all sides are distinct. You can assume that number  a  is closer to number  x  than number  b , if  | a  -  x | < | b  -  x | .","Print three integers: the number of ways to throw the dice at which the first player wins, the game ends with a draw or the second player wins, correspondingly.","Print three integers: the number of ways to throw the dice at which the first player wins, the game ends with a draw or the second player wins, correspondingly.",A. Playing with Dice
,"As their story unravels, a timeless tale is told once again... Shirahime, a friend of Mocha's, is keen on playing the music game Arcaea and sharing Mocha interesting puzzles to solve. This day, Shirahime comes up with a new simple puzzle and wants Mocha to solve them. However, these puzzles are too easy for Mocha to solve, so she wants you to solve them and tell her the answers. The puzzles are described as follow. There are $$$n$$$ squares arranged in a row, and each of them can be painted either red or blue. Among these squares, some of them have been painted already, and the others are blank. You can decide which color to paint on each blank square. Some pairs of adjacent squares may have the same color, which is imperfect. We define the  imperfectness  as the number of pairs of adjacent squares that share the same color. For example, the imperfectness of "" BRRRBBR "" is $$$3$$$, with "" BB "" occurred once and "" RR "" occurred twice. Your goal is to minimize the imperfectness and print out the colors of the squares after painting. ",900,https://codeforces.com/problemset/problem/1559/B,,"Each test contains multiple test cases. The first line contains a single integer $$$t$$$ ($$$1 \le t \le 100$$$) — the number of test cases. Each test case consists of two lines.The first line of each test case contains an integer $$$n$$$ ($$$1\leq n\leq 100$$$) — the length of the squares row.The second line of each test case contains a string $$$s$$$ with length $$$n$$$, containing characters 'B', 'R' and '?'. Here 'B' stands for a blue square, 'R' for a red square, and '?' for a blank square.","Each test contains multiple test cases. The first line contains a single integer $$$t$$$ ($$$1 \le t \le 100$$$) — the number of test cases. Each test case consists of two lines.The first line of each test case contains an integer $$$n$$$ ($$$1\leq n\leq 100$$$) — the length of the squares row.The second line of each test case contains a string $$$s$$$ with length $$$n$$$, containing characters 'B', 'R' and '?'. Here 'B' stands for a blue square, 'R' for a red square, and '?' for a blank square.","In the first test case, if the squares are painted "" BRRBRBR "", the imperfectness is $$$1$$$ (since squares $$$2$$$ and $$$3$$$ have the same color), which is the minimum possible imperfectness.","For each test case, print a line with a string only containing 'B' and 'R', the colors of the squares after painting, which imperfectness is minimized. If there are multiple solutions, print any of them.","For each test case, print a line with a string only containing 'B' and 'R', the colors of the squares after painting, which imperfectness is minimized. If there are multiple solutions, print any of them.",B. Mocha and Red and Blue
,"Yura is tasked to build a closed fence in shape of an arbitrary non-degenerate simple quadrilateral. He's already got three straight fence segments with known lengths $$$a$$$, $$$b$$$, and $$$c$$$. Now he needs to find out some possible integer length $$$d$$$ of the fourth straight fence segment so that he can build the fence using these four segments. In other words, the fence should have a quadrilateral shape with side lengths equal to $$$a$$$, $$$b$$$, $$$c$$$, and $$$d$$$. Help Yura, find any possible length of the fourth side. A non-degenerate simple quadrilateral is such a quadrilateral that no three of its corners lie on the same line, and it does not cross itself.",800,https://codeforces.com/problemset/problem/1422/A,,"The first line contains a single integer $$$t$$$ — the number of test cases ($$$1 \le t \le 1000$$$). The next $$$t$$$ lines describe the test cases.Each line contains three integers $$$a$$$, $$$b$$$, and $$$c$$$ — the lengths of the three fence segments ($$$1 \le a, b, c \le 10^9$$$).","The first line contains a single integer $$$t$$$ — the number of test cases ($$$1 \le t \le 1000$$$). The next $$$t$$$ lines describe the test cases.Each line contains three integers $$$a$$$, $$$b$$$, and $$$c$$$ — the lengths of the three fence segments ($$$1 \le a, b, c \le 10^9$$$).","We can build a quadrilateral with sides $$$1$$$, $$$2$$$, $$$3$$$, $$$4$$$. We can build a quadrilateral with sides $$$12$$$, $$$34$$$, $$$56$$$, $$$42$$$.","For each test case print a single integer $$$d$$$ — the length of the fourth fence segment that is suitable for building the fence. If there are multiple answers, print any. We can show that an answer always exists.","For each test case print a single integer $$$d$$$ — the length of the fourth fence segment that is suitable for building the fence. If there are multiple answers, print any. We can show that an answer always exists.",A. Fence
,"Once at a team training Vasya, Petya and Sasha got a problem on implementing linear search in an array. According to the boys, linear search works as follows. The array elements in a pre-selected order are in turn compared with the number that you need to find. Once you find the array element that is equal to the required one, the search ends. The efficiency of the algorithm is the number of performed comparisons. The fewer comparisons the linear search has made, the more effective it is. Vasya believes that a linear search would work better if it sequentially iterates through the elements, starting with the  1 -st one (in this problem we consider the elements of the array indexed from  1  to  n ) and ending with the  n -th one. And Petya says that Vasya is wrong: the search will need less comparisons if it sequentially iterates the elements starting from the  n -th and ending with the  1 -st one. Sasha argues that the two approaches are equivalent. To finally begin the task, the teammates decided to settle the debate and compare the two approaches on an example. For this, they took an array that is a permutation of integers from  1  to  n , and generated  m  queries of the form: find element with value  b i  in the array. They want to calculate for both approaches how many comparisons in total the linear search will need to respond to all queries. If the first search needs fewer comparisons, then the winner of the dispute is Vasya. If the second one does, then the winner is Petya. If both approaches make the same number of comparisons, then Sasha's got the upper hand. But the problem is, linear search is too slow. That's why the boys aren't going to find out who is right before the end of the training, unless you come in here. Help them to determine who will win the dispute.",1100,https://codeforces.com/problemset/problem/227/B,,"The first line contains integer n (1 ≤ n ≤ 105) — the number of elements in the array. The second line contains n distinct space-separated integers a1, a2, ..., an (1 ≤ ai ≤ n) — the elements of array. The third line contains integer m (1 ≤ m ≤ 105) — the number of queries. The last line contains m space-separated integers b1, b2, ..., bm (1 ≤ bi ≤ n) — the search queries. Note that the queries can repeat.","The first line contains integer n (1 ≤ n ≤ 105) — the number of elements in the array. The second line contains n distinct space-separated integers a1, a2, ..., an (1 ≤ ai ≤ n) — the elements of array. The third line contains integer m (1 ≤ m ≤ 105) — the number of queries. The last line contains m space-separated integers b1, b2, ..., bm (1 ≤ bi ≤ n) — the search queries. Note that the queries can repeat.","In the first sample Vasya's approach will make one comparison (it starts with the  1 -st element and immediately finds the required number), and Petya's approach makes two comparisons (first he compares with the  2 -nd array element, doesn't find the search item and compares with the  1 -st element). In the second sample, on the contrary, Vasya's approach will need two comparisons (first with  1 -st element, and then with the  2 -nd), and Petya's approach will find the required value in one comparison (the first comparison with the  2 -nd element).","Print two integers, showing how many comparisons Vasya's approach needs and how many comparisons Petya's approach needs. Separate the numbers by spaces.Please, do not use the %lld specifier to read or write 64-bit integers in С++. It is preferred to use cin, cout streams or the %I64d specifier.","Print two integers, showing how many comparisons Vasya's approach needs and how many comparisons Petya's approach needs. Separate the numbers by spaces.Please, do not use the %lld specifier to read or write 64-bit integers in С++. It is preferred to use cin, cout streams or the %I64d specifier.",B. Effective Approach
,"Dawid has four bags of candies. The $$$i$$$-th of them contains $$$a_i$$$ candies. Also, Dawid has two friends. He wants to give each bag to one of his two friends. Is it possible to distribute the bags in such a way that each friend receives the same amount of candies in total? Note, that you can't keep bags for yourself or throw them away, each bag should be given to one of the friends.",800,https://codeforces.com/problemset/problem/1230/A,,"The only line contains four integers $$$a_1$$$, $$$a_2$$$, $$$a_3$$$ and $$$a_4$$$ ($$$1 \leq a_i \leq 100$$$) — the numbers of candies in each bag.","The only line contains four integers $$$a_1$$$, $$$a_2$$$, $$$a_3$$$ and $$$a_4$$$ ($$$1 \leq a_i \leq 100$$$) — the numbers of candies in each bag.","In the first sample test, Dawid can give the first and the third bag to the first friend, and the second and the fourth bag to the second friend. This way, each friend will receive $$$12$$$ candies. In the second sample test, it's impossible to distribute the bags.","Output YES if it's possible to give the bags to Dawid's friends so that both friends receive the same amount of candies, or NO otherwise. Each character can be printed in any case (either uppercase or lowercase).","Output YES if it's possible to give the bags to Dawid's friends so that both friends receive the same amount of candies, or NO otherwise. Each character can be printed in any case (either uppercase or lowercase).",A. Dawid and Bags of Candies
,"Shubham has a binary string $$$s$$$. A binary string is a string containing only characters "" 0 "" and "" 1 "". He can perform the following operation on the string any amount of times:     Select an index of the string, and flip the character at that index. This means, if the character was "" 0 "", it becomes "" 1 "", and vice versa.  A string is called good if it does not contain "" 010 "" or "" 101 "" as a subsequence  — for instance, "" 1001 "" contains "" 101 "" as a subsequence, hence it is not a good string, while "" 1000 "" doesn't contain neither "" 010 "" nor "" 101 "" as subsequences, so it is a good string. What is the minimum number of operations he will have to perform, so that the string becomes good? It can be shown that with these operations we can make any string good. A string $$$a$$$ is a subsequence of a string $$$b$$$ if $$$a$$$ can be obtained from $$$b$$$ by deletion of several (possibly, zero or all) characters.",1400,https://codeforces.com/problemset/problem/1363/B,,The first line of the input contains a single integer $$$t$$$ $$$(1\le t \le 100)$$$ — the number of test cases.Each of the next $$$t$$$ lines contains a binary string $$$s$$$ $$$(1 \le |s| \le 1000)$$$.,The first line of the input contains a single integer $$$t$$$ $$$(1\le t \le 100)$$$ — the number of test cases.Each of the next $$$t$$$ lines contains a binary string $$$s$$$ $$$(1 \le |s| \le 1000)$$$.,"In test cases $$$1$$$, $$$2$$$, $$$5$$$, $$$6$$$ no operations are required since they are already good strings. For the $$$3$$$rd test case: "" 001 "" can be achieved by flipping the first character  — and is one of the possible ways to get a good string. For the $$$4$$$th test case: "" 000 "" can be achieved by flipping the second character  — and is one of the possible ways to get a good string. For the $$$7$$$th test case: "" 000000 "" can be achieved by flipping the third and fourth characters  — and is one of the possible ways to get a good string.","For every string, output the minimum number of operations required to make it good.","For every string, output the minimum number of operations required to make it good.",B. Subsequence Hate
,"You are given two segments $$$[l_1; r_1]$$$ and $$$[l_2; r_2]$$$ on the $$$x$$$-axis. It is guaranteed that $$$l_1 < r_1$$$ and $$$l_2 < r_2$$$. Segments  may intersect, overlap or even coincide with each other .       The example of two segments on the $$$x$$$-axis.   Your problem is to find two  integers  $$$a$$$ and $$$b$$$ such that $$$l_1 \le a \le r_1$$$, $$$l_2 \le b \le r_2$$$ and $$$a \ne b$$$. In other words, you have to choose two  distinct  integer points in such a way that the first point belongs to the segment $$$[l_1; r_1]$$$ and the second one belongs to the segment $$$[l_2; r_2]$$$. It is guaranteed that  the answer exists . If there are multiple answers, you can print  any  of them. You have to answer $$$q$$$ independent queries.",800,https://codeforces.com/problemset/problem/1108/A,,"The first line of the input contains one integer $$$q$$$ ($$$1 \le q \le 500$$$) — the number of queries.Each of the next $$$q$$$ lines contains four integers $$$l_{1_i}, r_{1_i}, l_{2_i}$$$ and $$$r_{2_i}$$$ ($$$1 \le l_{1_i}, r_{1_i}, l_{2_i}, r_{2_i} \le 10^9, l_{1_i} < r_{1_i}, l_{2_i} < r_{2_i}$$$) — the ends of the segments in the $$$i$$$-th query.","The first line of the input contains one integer $$$q$$$ ($$$1 \le q \le 500$$$) — the number of queries.Each of the next $$$q$$$ lines contains four integers $$$l_{1_i}, r_{1_i}, l_{2_i}$$$ and $$$r_{2_i}$$$ ($$$1 \le l_{1_i}, r_{1_i}, l_{2_i}, r_{2_i} \le 10^9, l_{1_i} < r_{1_i}, l_{2_i} < r_{2_i}$$$) — the ends of the segments in the $$$i$$$-th query.",,"Print $$$2q$$$ integers. For the $$$i$$$-th query print two integers $$$a_i$$$ and $$$b_i$$$ — such numbers that $$$l_{1_i} \le a_i \le r_{1_i}$$$, $$$l_{2_i} \le b_i \le r_{2_i}$$$ and $$$a_i \ne b_i$$$. Queries are numbered in order of the input.It is guaranteed that the answer exists. If there are multiple answers, you can print any.","Print $$$2q$$$ integers. For the $$$i$$$-th query print two integers $$$a_i$$$ and $$$b_i$$$ — such numbers that $$$l_{1_i} \le a_i \le r_{1_i}$$$, $$$l_{2_i} \le b_i \le r_{2_i}$$$ and $$$a_i \ne b_i$$$. Queries are numbered in order of the input.It is guaranteed that the answer exists. If there are multiple answers, you can print any.",A. Two distinct points
,"Little girl Susie went shopping with her mom and she wondered how to improve service quality.  There are  n  people in the queue. For each person we know time  t i  needed to serve him. A person will be disappointed if the time he waits is more than the time needed to serve him. The time a person waits is the total time when all the people who stand in the queue in front of him are served. Susie thought that if we swap some people in the queue, then we can decrease the number of people who are disappointed.  Help Susie find out what is the maximum number of not disappointed people can be achieved by swapping people in the queue.",1300,https://codeforces.com/problemset/problem/545/D,,"The first line contains integer n (1 ≤ n ≤ 105).The next line contains n integers ti (1 ≤ ti ≤ 109), separated by spaces.","The first line contains integer n (1 ≤ n ≤ 105).The next line contains n integers ti (1 ≤ ti ≤ 109), separated by spaces.","Value  4  is achieved at such an arrangement, for example:  1, 2, 3, 5, 15 . Thus, you can make everything feel not disappointed except for the person with time 5.",Print a single number — the maximum number of not disappointed people in the queue.,Print a single number — the maximum number of not disappointed people in the queue.,D. Queue
